family_id	head	size	book_hits	raw_hits	book_members	peak_word	charged	labelled	charged_pct	pos_ct	neg_ct	contrast	held	done	eligible
oewn-01622948-v	destroy	38	209	996	23	end	5	38	0.13	2	3	1	0	0	0
oewn-01238728-v	hit	26	208	1011	15	strike	0	26	0.0	0	0	0	0	0	0
oewn-00874568-v	rede	20	208	755	13	warn	7	20	0.35	4	3	1	0	0	0
oewn-01472854-v	receive	8	206	3746	7	see	1	8	0.12	1	0	0	0	0	0
oewn-01349980-v	confine	14	205	440	10	lock	0	14	0.0	0	0	0	0	0	0
oewn-02460829-v	watch	10	205	1708	8	follow	5	10	0.5	5	0	0	0	0	0
oewn-01868216-v	start	8	205	4662	6	go	0	8	0.0	0	0	0	0	0	0
oewn-00151509-v	decrease	56	203	1968	42	break	10	56	0.18	1	9	1	0	0	0
oewn-01170802-v	eat	33	203	968	22	eat	0	33	0.0	0	0	0	0	0	0
oewn-02018017-v	depart	15	201	1254	11	part	0	15	0.0	0	0	0	0	0	0
oewn-00923271-v	bespeak	21	199	1324	20	point	0	21	0.0	0	0	0	0	0	0
oewn-02773266-v	emit	19	198	985	16	sound	2	19	0.11	2	0	0	0	0	0
oewn-01435927-v	bring	7	198	3368	7	get	0	7	0.0	0	0	0	0	0	0
oewn-00485097-v	complete	30	197	1101	20	close	1	30	0.03	1	0	0	0	0	0
oewn-01348685-v	open	21	197	1028	17	open	0	21	0.0	0	0	0	0	0	0
oewn-01570056-v	plant	11	197	1269	7	set	0	11	0.0	0	0	0	0	0	0
oewn-01645456-v	initiate	31	196	801	24	attempt	0	31	0.0	0	0	0	0	0	0
oewn-00824028-v	declare	21	196	2112	12	call	5	21	0.24	4	1	1	0	0	0
oewn-01549783-v	lie	11	196	657	7	lie	1	11	0.09	0	1	0	0	0	0
oewn-00711208-v	intend	10	196	1250	9	mean	0	10	0.0	0	0	0	0	0	0
oewn-01585566-v	trace	10	196	1595	8	write	0	10	0.0	0	0	0	0	0	0
oewn-00452793-v	fill	5	196	699	4	water	1	5	0.2	0	1	0	0	0	0
oewn-00259743-v	damage	36	195	1285	29	break	20	36	0.56	0	20	0	0	0	0
oewn-00293903-v	fancify	24	195	944	13	become	11	24	0.46	11	0	0	0	0	0
oewn-00706456-v	plan	22	195	765	17	plan	0	22	0.0	0	0	0	0	0	0
oewn-01507886-v	attract	12	195	4111	12	get	1	12	0.08	0	1	0	0	0	0
oewn-00925764-v	indicate	12	194	1911	9	point	0	12	0.0	0	0	0	0	0	0
oewn-02294200-v	gain	22	193	4030	16	make	0	22	0.0	0	0	0	0	0	0
oewn-01102556-v	win	12	193	3737	11	take	5	12	0.42	4	1	1	0	0	0
oewn-02547977-v	comply	9	193	1867	7	keep	0	9	0.0	0	0	0	0	0	0
oewn-01198570-v	abstain	8	193	435	7	fast	3	8	0.38	0	3	0	0	0	0
oewn-01832678-v	love	4	193	800	4	love	3	4	0.75	3	0	0	0	0	0
oewn-02299397-v	distribute	20	192	2396	12	give	0	20	0.0	0	0	0	0	0	0
oewn-00919743-v	predict	17	192	1722	14	call	2	17	0.12	2	0	0	0	0	0
oewn-00474503-v	perfect	9	192	757	5	round	0	9	0.0	0	0	0	0	0	0
oewn-02633444-v	come	4	192	3659	3	come	0	4	0.0	0	0	0	0	0	0
oewn-02679754-v	excel	17	191	1355	12	pass	7	17	0.41	4	3	1	0	0	0
oewn-01320383-v	search	10	191	4217	8	go	3	10	0.3	3	0	0	0	0	0
oewn-00914001-v	exclaim	9	191	973	6	cry	6	9	0.67	0	6	0	0	0	0
oewn-01141530-v	bet on	9	191	1313	3	back	0	9	0.0	0	0	0	0	0	0
oewn-02021901-v	board	6	190	1129	6	ship	0	6	0.0	0	0	0	0	0	0
oewn-01167359-v	use	5	190	792	4	use	0	5	0.0	0	0	0	0	0	0
oewn-02644022-v	wait	26	189	647	14	wait	0	26	0.0	0	0	0	0	0	0
oewn-00228662-v	water	6	188	600	4	water	0	6	0.0	0	0	0	0	0	0
oewn-01560556-v	separate	29	185	919	20	part	1	29	0.03	1	0	0	0	0	0
oewn-01893603-v	shake	27	185	609	14	shake	0	27	0.0	0	0	0	0	0	0
oewn-02211401-v	take	26	185	3056	21	take	8	26	0.31	0	8	0	0	1	0
oewn-02234332-v	fall	6	185	2588	6	pass	0	6	0.0	0	0	0	0	0	0
oewn-01219607-v	hold	22	183	2712	18	hold	0	22	0.0	0	0	0	0	0	0
oewn-00643760-v	divide	5	182	4240	4	go	0	5	0.0	0	0	0	0	0	0
oewn-01849171-v	tour	4	182	3476	3	see	0	4	0.0	0	0	0	0	0	0
oewn-00814706-v	consider	10	181	3506	10	see	0	10	0.0	0	0	0	0	0	0
oewn-01657416-v	make	10	181	2989	10	make	0	10	0.0	0	0	0	0	0	0
oewn-00222898-v	reinforce	7	181	607	5	line	0	7	0.0	0	0	0	0	0	0
oewn-02639021-v	include	18	180	1969	16	hold	0	18	0.0	0	0	0	0	0	0
oewn-02174335-v	listen	13	179	726	8	listen	4	13	0.31	1	3	1	0	0	0
oewn-02461453-v	guard	12	179	923	5	sit	0	12	0.0	0	0	0	0	0	0
oewn-01892504-v	tremble	8	178	297	8	tremble	4	8	0.5	4	0	0	0	0	0
oewn-00139943-v	change integrity	78	177	1671	41	break	0	78	0.0	0	0	0	0	0	0
oewn-02563998-v	thwart	14	177	546	12	cross	3	14	0.21	0	3	0	0	0	0
oewn-02059573-v	travel rapidly	13	177	1070	7	run	0	13	0.0	0	0	0	0	0	0
oewn-01393270-v	press	5	177	426	3	iron	0	5	0.0	0	0	0	0	0	0
oewn-02213685-v	lease	5	177	1049	3	let	0	5	0.0	0	0	0	0	0	0
oewn-00118331-v	continue	9	176	2346	8	stand	0	9	0.0	0	0	0	0	0	0
oewn-00781106-v	pause	9	176	1261	5	rest	0	9	0.0	0	0	0	0	0	0
oewn-02647119-v	hesitate	7	176	359	5	pause	1	7	0.14	1	0	0	0	0	0
oewn-00683348-v	measure	17	175	672	9	mark	3	17	0.18	3	0	0	0	1	0
oewn-01821097-v	displease	17	175	451	15	devil	3	17	0.18	0	3	0	0	0	0
oewn-01031885-v	label	13	175	2796	10	call	5	13	0.38	5	0	0	0	0	0
oewn-02076777-v	elapse	12	175	1336	10	pass	0	12	0.0	0	0	0	0	0	0
oewn-01662082-v	fashion	7	175	309	5	tie	0	7	0.0	0	0	0	0	0	0
oewn-01733312-v	sing	33	174	1510	17	place	1	33	0.03	1	0	0	0	0	0
oewn-01545905-v	sit	13	174	1353	11	sit	0	13	0.0	0	0	0	0	0	0
oewn-00428350-v	vanish	4	174	4221	4	go	0	4	0.0	0	0	0	0	0	0
oewn-02436167-v	separate	24	173	1705	14	part	2	24	0.08	0	2	0	0	0	0
oewn-00750288-v	inflict	15	173	2381	13	give	6	15	0.4	0	6	0	0	0	0
oewn-01081873-v	meet	7	173	1774	6	face	2	7	0.29	0	2	0	0	0	0
oewn-01771015-v	worry	7	173	558	5	fear	7	7	1.0	1	6	1	0	0	0
oewn-00864347-v	attack	21	172	981	16	round	9	21	0.43	0	9	0	0	0	0
oewn-01846997-v	travel	13	172	1319	9	run	2	13	0.15	0	2	0	0	0	0
oewn-01756692-v	produce	8	172	1749	6	leave	0	8	0.0	0	0	0	0	0	0
oewn-00070587-v	trouble	6	172	556	4	trouble	3	6	0.5	0	3	0	0	0	0
oewn-01852660-v	go	6	172	4353	6	go	3	6	0.5	0	3	0	0	0	0
oewn-00204228-v	worsen	24	171	1545	19	lose	15	24	0.62	0	15	0	0	0	0
oewn-01957669-v	transport	19	171	557	15	raft	0	19	0.0	0	0	0	0	0	0
oewn-02503969-v	reserve	7	171	2086	6	keep	0	7	0.0	0	0	0	0	0	0
oewn-00904886-v	wish	4	171	860	3	wish	0	4	0.0	0	0	0	0	0	0
oewn-02003250-v	precede	4	171	1708	4	head	0	4	0.0	0	0	0	0	0	0
oewn-02078906-v	escape	18	170	1372	16	break	0	18	0.0	0	0	0	0	0	0
oewn-00845147-v	charge	18	169	403	12	charge	11	18	0.61	9	2	1	0	0	0
oewn-00933814-v	mean	6	169	1063	6	mean	0	6	0.0	0	0	0	0	0	0
oewn-01712535-v	dance	53	168	1133	16	break	0	53	0.0	0	0	0	0	0	0
oewn-00182551-v	add	30	168	941	22	add	0	30	0.0	0	0	0	0	0	0
oewn-01949375-v	sail	16	168	1702	11	run	1	16	0.06	0	1	0	0	0	0
oewn-00312341-v	darken	14	168	637	11	shadow	1	14	0.07	0	1	0	0	0	0
oewn-01060446-v	comment	11	168	522	6	notice	4	11	0.36	0	4	0	0	1	0
oewn-01428543-v	pet	5	168	272	4	neck	3	5	0.6	2	1	1	0	0	0
oewn-01393487-v	iron	4	168	297	3	iron	0	4	0.0	0	0	0	0	0	0
